SpeciesID	Subfamily	Genus	Species	CName	PaperID	StorageYN	StorageType	Resource	MobilityYN	MobilityType	HabitatType	Invasive	LorF
MYPHAB	Myrmicinae	Pheidole	aberrans		04WOS(AIS)01	Y	I	Liquid Food				N	L
MYTEAL	Myrmicinae	Temnothorax	albipennis		04WOS(AIS)03	Y	I	Honey Solution and Drosophila				N	L
FOFORU	Formicinae	Formica	rufa		04WOS(AFS)03	Y	E	Seeds			Spruce forest	N	F
FOCASA	Formicinae	Camponotus	sanctus		04WOS(AFS)06	Y	I	Liquid Food				N	L
MYACEC	Myrmicinae	Acromyrmex	echinatior		05WOS(AFS)04	Y	I	Liquid Food			Rainforest	N	F
MYACOC	Myrmicinae	Acromyrmex	octospinosus		05WOS(AFS)04	Y	I	Liquid Food			Rainforest	N	F
MYATCO	Myrmicinae	Atta	colombica		05WOS(AFS)04	Y	I	Liquid Food			Rainforest	N	F
MYATSE	Myrmicinae	Atta	sexdens		05WOS(AFS)04	Y	I	Liquid Food			Rainforest	N	F
MYACEC	Myrmicinae	Acromyrmex	echinatior		05WOS(AFS)04	Y	I	Liquid Food			Rainforest	N	L
FOOESM	Formicinae	Oecophylla	smaragdina	Weaver Ants	05WOS(AFS)12				Y	I	Mango and Pomelo Farmland	N	F
FOCACU	Formicinae	Cataglyphis	cursor	Desert Ant	05WOS(AFS)14	Y	I	Cockroaches and Sugar Water				N	L
MYTRZE	Myrmicinae	Trachymyrmex	zeteki		05WOS(AFS)16	Y	E	Farmed Fungus			Primary and Secondary Rainforest	N	L
MYPONA	Myrmicinae	Pogonomyrmex	naegelii	Harvester Ant	05WOS(AFS)17	Y	E	Seeds				N	F
MYCETO	Myrmicinae	Crematogaster	torosa		05WOS(AFS)18	Y	E	Dried Insect				N	L
FOFOFU	Formicinae	Formica	fusca		05WOS(AFS)19	Y	I	Sucrose Solution				N	L
MYSOIN	Myrmicinae	Solenopsis	invicta	Fire ant	05WOS(AFS)22	Y	E	Dried Insect					L
MYSOIN	Myrmicinae	Solenopsis	invicta	Fire ant	05WOS(AFS)22	Y	E	Dried Insect					F
FOCARU	Formicinae	Camponotus	rufipes		05WOS(AFS)23	Y	I	Nectar				N	L
MYPOBA01	Myrmicinae	Pogonomyrmex	badius	Florida harvester ant	05WOS(AFS)24	Y	E	Seeds				N	L
MYPHMO	Myrmicinae	Pheidole	morrisi		05WOS(AFS)26	Y	I	Fat				N	L
FOCARU	Formicinae	Camponotus	rufipes		05WOS(AFS)29	Y	I	Nectar					L
MYATSE	Myrmicinae	Atta	sexdens		05WOS(AFS)29	Y	I	Liquid Food					L
MYMEBA	Myrmicinae	Messor	barbarus		05WOS(AFS)31	Y	E	Seeds					L
MYMEAC	Myrmicinae	Messor	aciculatus	Harvester Ant	05WOS(AFS)37	Y	E	Seeds				N	F
MYMOPH	Myrmicinae	Monomorium	pharaonis	Pharaoh ant	05WOS(AFS)39	Y	E						L
MYMOPH	Myrmicinae	Monomorium	pharaonis	Pharaoh ant	05WOS(AFS)39	Y	I	Liquid Food					L
FOFOPO02	Formicinae	Formica	podzolica		05WOS(AFS)40	N					Boreal mixed-wood forest and Grasslands	N	F
FOCONI	Formicinae	Colobopsis	nipponicus		05WOS(AFS)42	Y	I	Fat			Broad-leaf evergreen forests	N	L
FOCAFL	Formicinae	Camponotus	floridanus		05WOS(AFS)44	Y	Larvae						L
FOPRNI	Formicinae	Prenolepis	nitens	European false honeypot ant	07WOS(AH)01	Y	I	Fat			Sub-Mediterranean oak forest	N	F
FOMYME01	Formicinae	Myrmecocystus	mendax	Honeypot Ant	07WOS(AH)02	Y	I	Liquid Food				N	F
FOMYME01	Formicinae	Myrmecocystus	mendax	Honeypot Ant	07WOS(AH)03	Y	I	Liquid Food				N	L
FOMYME02	Formicinae	Myrmecocystus	mexicanus	Honeypot Ant	07WOS(AH)03	Y	I	Liquid Food				N	L
MYACCR	Myrmicinae	Acromyrmex	crassispinus		07WOS(ATR)02	Y	E	Farmed Fungus			Woodland	N	F
POBRCH	Ponerinae	Brachyponera	chinensis	Asian Needle Ant	07WOS(ATR)04				Y	A	Mixed hardwood-pine forest	Y	L
MYATSE	Myrmicinae	Atta	sexdens	Leafcutter ant	07WOS(ATR)05	Y	E	Farmed Fungus	Y	A		N	L
FOFOLU	Formicinae	Formica	lugubris		07WOS(ATR)08	Y	I	Honeydew				N	F
MYPOMA	Myrmicinae	Pogonomyrmex	mayri		07S(AR)18	N			Y	I		N	F
FOPOLU	Formicinae	Polyergus	lucidus		07S(AR)17				Y	I	Pine-barrens	N	F
FOFOCA	Formicinae	Formica	canadensis		07S(AR)16	Y	E	Seeds			Dry meadows	N	F
MYMYDI	Myrmicinae	Myrmica	discontinua		07S(AR)16	Y	E	Seeds			Dry meadows	N	F
FOCADE	Formicinae	Camponotus	detritus	Namib Desert Dune Ant	07S(AR)15	N			Y	A	Desert Sand Dunes	N	F
POLEPR	Ponerinae	Leptogenys	processionalis		07S(AR)12				Y	N	Lowland dipterocarp forest	N	F
FOMEBA	Formicinae	Melophorus	bagoti	Red Honey Ant	07S(AR)09	Y	I	Liquid Food	Y	A		N	F
